"Vanhojen vapaarahoitteisten asuntojen hinnat muuttujina Nelj‰nnes,"
"Talotyyppi, Rakennusvuosi, Vuosi, Postinumero ja Tiedot"

" ";" ";" ";" ";" ";"Keskihinta";"Lukum‰‰r‰"
"Vuosi"
" ";"Talotyypit yhteens‰"
" ";" ";"Rakennusvuodet yhteens‰"
" ";" ";" ";"2011"
" ";" ";" ";" ";"00100";5413;417
" ";" ";" ";" ";"00120";5581;138
" ";" ";" ";" ";"00130";6646;19
" ";" ";" ";" ";"00140";6262;212
" ";" ";" ";" ";"00150";5704;296
" ";" ";" ";" ";"00160";5932;42
" ";" ";" ";" ";"00170";5747;136
" ";" ";" ";" ";"00180";5459;206
" ";" ";" ";" ";"00190";.;.
" ";" ";" ";" ";"00200";4576;434
" ";" ";" ";" ";"00210";4747;143
" ";" ";" ";" ";"00240";.;1
" ";" ";" ";" ";"00250";4953;307
" ";" ";" ";" ";"00260";5322;155
" ";" ";" ";" ";"00270";4686;208
" ";" ";" ";" ";"00280";4394;74
" ";" ";" ";" ";"00290";.;1
" ";" ";" ";" ";"00300";4424;32
" ";" ";" ";" ";"00310";3352;21
" ";" ";" ";" ";"00320";3829;323
" ";" ";" ";" ";"00330";4609;151
" ";" ";" ";" ";"00340";3670;16
" ";" ";" ";" ";"00350";3718;137
" ";" ";" ";" ";"00360";3043;67
" ";" ";" ";" ";"00370";3173;88
" ";" ";" ";" ";"00390";2785;86
" ";" ";" ";" ";"00400";3286;236
" ";" ";" ";" ";"00410";2647;15
" ";" ";" ";" ";"00420";2683;225
" ";" ";" ";" ";"00430";3175;16
" ";" ";" ";" ";"00440";3345;96
" ";" ";" ";" ";"00500";4349;454
" ";" ";" ";" ";"00510";4260;349
" ";" ";" ";" ";"00520";3906;114
" ";" ";" ";" ";"00530";4510;525
" ";" ";" ";" ";"00550";3957;198
" ";" ";" ";" ";"00560";4490;138
" ";" ";" ";" ";"00570";3873;80
" ";" ";" ";" ";"00580";.;4
" ";" ";" ";" ";"00590";.;.
" ";" ";" ";" ";"00600";2848;27
" ";" ";" ";" ";"00610";3962;130
" ";" ";" ";" ";"00620";3048;69
" ";" ";" ";" ";"00630";2844;126
" ";" ";" ";" ";"00640";2985;166
" ";" ";" ";" ";"00650";3212;25
" ";" ";" ";" ";"00660";3455;55
" ";" ";" ";" ";"00670";3601;55
" ";" ";" ";" ";"00680";3282;28
" ";" ";" ";" ";"00690";.;2
" ";" ";" ";" ";"00700";3072;105
" ";" ";" ";" ";"00710";2484;154
" ";" ";" ";" ";"00720";2961;128
" ";" ";" ";" ";"00730";3146;117
" ";" ";" ";" ";"00740";2714;84
" ";" ";" ";" ";"00750";2489;67
" ";" ";" ";" ";"00760";2739;87
" ";" ";" ";" ";"00770";2050;53
" ";" ";" ";" ";"00780";3213;81
" ";" ";" ";" ";"00790";3675;85
" ";" ";" ";" ";"00800";3421;84
" ";" ";" ";" ";"00810";3799;84
" ";" ";" ";" ";"00820";2737;163
" ";" ";" ";" ";"00830";3447;19
