"pnro","nimi","kunta","maakunta","hinta2016","trendi2016"
"22100","Maarianhamina","Maarianhamina","Ahvenanmaan maakunta",1402,-1.7
"22410","Godby","Finström","Ahvenanmaan maakunta",1165,-2.9
"22150","Jomala Centrum","Jomala","Ahvenanmaan maakunta",1140,-3.1
"22320","Ödkarby","Saltvik","Ahvenanmaan maakunta",1090,-3.4
"22610","Lemland","Lemland","Ahvenanmaan maakunta",1086,-3.4
"22130","Gottby","Jomala","Ahvenanmaan maakunta",1079,-3.5
"22910","Torsholma","Brändö","Ahvenanmaan maakunta",1076,-3.5
"22310","Pålsböle","Finström","Ahvenanmaan maakunta",1075,-3.5
"22240","Hammarland","Hammarland","Ahvenanmaan maakunta",1063,-3.6
"22220","Emkarby","Finström","Ahvenanmaan maakunta",1060,-3.6
"22630","Lumparland","Lumparland","Ahvenanmaan maakunta",1059,-3.6
"22520","Tosarby","Sund","Ahvenanmaan maakunta",1055,-3.6
"22330","Tjudö","Finström","Ahvenanmaan maakunta",1049,-3.6
"22530","Sund","Sund","Ahvenanmaan maakunta",1048,-3.7
"22270","Storby","Eckerö","Ahvenanmaan maakunta",1047,-3.7
"22430","Saltvik","Saltvik","Ahvenanmaan maakunta",1036,-3.7
"22940","Åva","Brändö","Ahvenanmaan maakunta",1035,-3.7
"22920","Brändö-Åland","Brändö","Ahvenanmaan maakunta",1034,-3.7
"22950","Jurmo","Brändö","Ahvenanmaan maakunta",1029,-3.8
"22730","Kökar","Kökar","Ahvenanmaan maakunta",1027,-3.8
"22720","Sottunga","Sottunga","Ahvenanmaan maakunta",1023,-3.8
"22830","Enklinge","Kumlinge","Ahvenanmaan maakunta",1020,-3.8
"22340","Geta","Geta","Ahvenanmaan maakunta",1014,-3.9
"22820","Kumlinge","Kumlinge","Ahvenanmaan maakunta",1011,-3.9
"22550","Vårdö","Vårdö","Ahvenanmaan maakunta",1008,-3.9
"22710","Ålands Degerby","Föglö","Ahvenanmaan maakunta",1008,-3.9
"22840","Lappo","Brändö","Ahvenanmaan maakunta",995,-4
"22930","Fiskö","Brändö","Ahvenanmaan maakunta",990,-4
"53100","Lappeenranta keskus","Lappeenranta","Etelä-Karjala",2371,0.7
"53600","Kesämäki","Lappeenranta","Etelä-Karjala",2369,1.5
"53900","Pallo-Tysterniemi-Leiri","Lappeenranta","Etelä-Karjala",2323,0.2
"53500","Parkkarila-Harapainen-Reijola","Lappeenranta","Etelä-Karjala",2028,0.6
"53130","Keskussairaala-alue-Kimpinen","Lappeenranta","Etelä-Karjala",1765,-0.6
"53550","Kourulanmäki","Lappeenranta","Etelä-Karjala",1630,-0.9
"54110","Lampikangas","Lappeenranta","Etelä-Karjala",1580,-0.9
"53200","Kaukas-Tirilä","Lappeenranta","Etelä-Karjala",1512,-1.9
"53300","Lauritsala-Mälkiä","Lappeenranta","Etelä-Karjala",1490,-1.2
"53850","Skinnarila","Lappeenranta","Etelä-Karjala",1488,-1.8
"54915","Saimaanharju-Kyläniemi","Taipalsaari","Etelä-Karjala",1488,-2.6
"54920","Taipalsaari","Taipalsaari","Etelä-Karjala",1459,-3.4
"55420","Karhumäki-Karhukallio","Imatra","Etelä-Karjala",1459,-0.1
"55100","Imatra Keskus","Imatra","Etelä-Karjala",1433,0.8
"53810","Kuusimäki-Lavola","Lappeenranta","Etelä-Karjala",1427,-1.3
"54120","Pulp","Lappeenranta","Etelä-Karjala",1344,-2.2
"53920","Voisalmi","Lappeenranta","Etelä-Karjala",1326,-2.6
"53650","Mattila-Kuusela","Lappeenranta","Etelä-Karjala",1318,-2.5
"54710","Lemi Keskus","Lemi","Etelä-Karjala",1299,-3.5
"53830","Rutola","Lappeenranta","Etelä-Karjala",1274,-2.5
"53950","Kivisalmi","Lappeenranta","Etelä-Karjala",1221,-2.9
"54850","Kuukanniemi","Lemi","Etelä-Karjala",1215,-3.5
