"pnro","nimi","kunta","maakunta","hinta2016keski","hinta2016min","hinta2016max","trendi2016keski","trendi2016min","trendi2016max"
"76100","Pieksämäki Keskus","Pieksämäki","Etelä-Savo",750,720,780,-11.4,-12.8,-10.1
"49900","Virolahti Keskus","Virolahti","Kymenlaakso",700,660,740,-11.1,-12.7,-9.4
"49460","Hillo","Hamina","Kymenlaakso",680,650,720,-10.6,-12,-9.2
"49510","Husula","Hamina","Kymenlaakso",620,590,650,-10.5,-12,-9
"49480","Vanha-Summa","Hamina","Kymenlaakso",830,770,900,-10.2,-11.4,-9
"49570","Kannusjärvi","Hamina","Kymenlaakso",740,660,820,-10.2,-11.7,-8.8
"49960","Ala-Pihlaja","Virolahti","Kymenlaakso",790,700,870,-10.2,-11.6,-8.6
"49980","Ravijoki","Virolahti","Kymenlaakso",780,690,870,-10.2,-11.7,-8.7
"76850","Naarajärvi","Pieksämäki","Etelä-Savo",830,770,880,-10.2,-12,-8.4
"49720","Hurttala","Miehikkälä","Kymenlaakso",760,690,830,-10.1,-11.5,-8.8
"49780","Onkamaa","Hamina","Kymenlaakso",770,700,830,-10.1,-11.4,-8.7
"49520","Reitkalli","Hamina","Kymenlaakso",760,670,830,-10,-11.5,-8.6
"49540","Metsäkylä","Hamina","Kymenlaakso",760,680,830,-10,-11.4,-8.6
"49930","Vaalimaa","Virolahti","Kymenlaakso",800,710,880,-10,-11.4,-8.5
"49490","Neuvoton","Hamina","Kymenlaakso",900,830,970,-9.9,-11.5,-8.4
"49660","Pyhältö","Hamina","Kymenlaakso",790,720,850,-9.9,-11.3,-8.6
"76780","Lamminmäki","Pieksämäki","Etelä-Savo",790,690,870,-9.9,-11.6,-8.1
"49340","Juurikorpi","Kotka","Kymenlaakso",810,740,870,-9.8,-11.1,-8.4
"49410","Poitsila","Hamina","Kymenlaakso",870,830,920,-9.8,-11.2,-8.3
"49640","Paijärvi","Hamina","Kymenlaakso",810,740,870,-9.8,-11.1,-8.4
"49730","Muurikkala","Miehikkälä","Kymenlaakso",800,740,870,-9.8,-11.1,-8.5
"49750","Kalliokoski","Miehikkälä","Kymenlaakso",800,740,870,-9.8,-11.1,-8.5
"49760","Suur-Miehikkälä","Miehikkälä","Kymenlaakso",810,740,870,-9.8,-11.1,-8.4
"49770","Salo-Miehikkälä","Miehikkälä","Kymenlaakso",800,740,870,-9.8,-11.1,-8.4
"49840","Mäntlahti","Hamina","Kymenlaakso",810,740,870,-9.8,-11.1,-8.4
"49400","Hamina Keskus","Hamina","Kymenlaakso",1070,1030,1110,-9.7,-10.9,-8.4
"76280","Partaharju","Pieksämäki","Etelä-Savo",810,710,890,-9.7,-11.4,-8
"49700","Miehikkälä Kirkonkylä","Miehikkälä","Kymenlaakso",830,770,890,-9.6,-10.9,-8.3
"49860","Klamila","Virolahti","Kymenlaakso",830,760,890,-9.6,-10.9,-8.3
"76150","Länsirinne","Pieksämäki","Etelä-Savo",770,740,800,-9.6,-10.8,-8.2
"76620","Pyhitty","Pieksämäki","Etelä-Savo",820,720,910,-9.6,-11.3,-8
"49290","Vastila","Pyhtää","Kymenlaakso",890,780,990,-9.5,-11,-8
"49420","Uusi-Summa","Hamina","Kymenlaakso",880,840,920,-9.4,-10.8,-8.1
"49630","Vehkajoki","Hamina","Kymenlaakso",860,790,920,-9.4,-10.6,-8.1
"76120","Kotiopuisto","Pieksämäki","Etelä-Savo",750,710,790,-9.4,-10.8,-7.8
"76130","Pappilanmäki","Pieksämäki","Etelä-Savo",920,860,1000,-9.4,-10.9,-7.7
"76940","Nenonpelto","Pieksämäki","Etelä-Savo",850,750,940,-9.3,-11,-7.7
"25380","Rekijoki","Salo","Varsinais-Suomi",590,530,650,-9.2,-11.2,-7.2
"49240","Purolanlahti","Pyhtää","Kymenlaakso",920,820,1020,-9.2,-10.6,-7.8
"49270","Pyhtää kk","Pyhtää","Kymenlaakso",920,820,1020,-9.2,-10.6,-7.8
"49300","Tavastila","Kotka","Kymenlaakso",870,810,940,-9.2,-10.4,-8
"25500","Perniö Keskus","Salo","Varsinais-Suomi",870,810,920,-9.1,-10.7,-7.4
"49610","Sivatti","Hamina","Kymenlaakso",890,820,960,-9.1,-10.2,-7.9
"25390","Kiikala Keskus","Salo","Varsinais-Suomi",600,550,650,-9,-11,-7.1
"25910","Vänoxa","Kemiönsaari","Varsinais-Suomi",750,650,840,-8.9,-10.8,-7
"49200","Heinlahti","Pyhtää","Kymenlaakso",950,860,1040,-8.9,-10.3,-7.6
"25110","Kruusila","Salo","Varsinais-Suomi",780,700,850,-8.8,-10.5,-7.2
"25170","Kotalato","Salo","Varsinais-Suomi",780,700,860,-8.8,-10.4,-7.2
"99195","Pokka","Kittilä","Lappi",1160,940,1350,-8.8,-11.3,-6.4
"25160","Tuohittu","Salo","Varsinais-Suomi",790,710,870,-8.7,-10.3,-7
"25180","Romsila","Salo","Varsinais-Suomi",800,720,870,-8.7,-10.3,-7
"25430","Kettula","Salo","Varsinais-Suomi",750,670,830,-8.7,-10.4,-7
"25470","Kisko kk","Salo","Varsinais-Suomi",750,670,830,-8.7,-10.4,-7
"25550","Aijala","Salo","Varsinais-Suomi",820,730,910,-8.7,-10.4,-7
"25560","Koski Asemanseutu","Salo","Varsinais-Suomi",820,730,910,-8.7,-10.4,-7.1
"25960","Högsåra","Kemiönsaari","Varsinais-Suomi",770,680,870,-8.7,-10.5,-6.8
"25540","Knaapila","Salo","Varsinais-Suomi",830,740,920,-8.6,-10.3,-7
"25730","Mjösund","Kemiönsaari","Varsinais-Suomi",830,730,910,-8.6,-10.3,-6.7
"25320","Raatala","Salo","Varsinais-Suomi",730,670,790,-8.5,-10.3,-6.7
"25340","Kanunki","Salo","Varsinais-Suomi",730,670,790,-8.5,-10.3,-6.7
"25370","Hiisi","Salo","Varsinais-Suomi",730,660,790,-8.5,-10.4,-6.7
"25460","Toija","Salo","Varsinais-Suomi",780,710,830,-8.5,-10.4,-6.7
"25810","Mark","Kemiönsaari","Varsinais-Suomi",780,730,840,-8.5,-10.1,-7
"25940","Hiittinen","Kemiönsaari","Varsinais-Suomi",800,700,890,-8.5,-10.3,-6.6
"25410","Suomusjärvi Keskus","Salo","Varsinais-Suomi",810,710,890,-8.4,-10.6,-6.4
"25420","Lahnajärvi","Salo","Varsinais-Suomi",800,720,880,-8.4,-10,-6.7
"25520","Perniö Asemanseutu","Salo","Varsinais-Suomi",850,760,940,-8.4,-10,-6.8
"25570","Teijo-Mathildedal","Salo","Varsinais-Suomi",860,770,950,-8.4,-10,-6.8
"25760","Kiila","Kemiönsaari","Varsinais-Suomi",850,760,940,-8.4,-10.1,-6.5
"25950","Rosala-Kasnäs-Hitis","Kemiönsaari","Varsinais-Suomi",810,710,900,-8.4,-10.2,-6.5
"25190","Inkere","Salo","Varsinais-Suomi",760,690,820,-8.3,-10.4,-6.3
"25330","Kuusjoki Keskus","Salo","Varsinais-Suomi",740,660,820,-8.3,-10.1,-6.2
"25610","Ylönkylä","Salo","Varsinais-Suomi",810,750,870,-8.3,-9.8,-6.8
"25640","Förby","Salo","Varsinais-Suomi",810,750,870,-8.3,-9.8,-6.9
"25650","Strömma","Kemiönsaari","Varsinais-Suomi",820,760,870,-8.3,-9.8,-6.8
"25830","Västanfjärd Keskus","Kemiönsaari","Varsinais-Suomi",820,760,870,-8.3,-9.8,-6.8
"25840","Nivelax","Kemiönsaari","Varsinais-Suomi",810,750,870,-8.3,-9.8,-6.8
"25930","Kasnäs","Kemiönsaari","Varsinais-Suomi",820,730,910,-8.3,-10.1,-6.5
"25240","Hajala","Salo","Varsinais-Suomi",820,740,900,-8.2,-9.8,-6.6
"25260","Vaskio","Salo","Varsinais-Suomi",810,720,900,-8.2,-10.1,-6.3
"25820","Vestlax","Kemiönsaari","Varsinais-Suomi",830,770,880,-8.2,-9.7,-6.8
"25860","Björkboda","Kemiönsaari","Varsinais-Suomi",820,760,870,-8.2,-9.8,-6.8
"49210","Huutjärvi","Pyhtää","Kymenlaakso",1090,1020,1150,-8.2,-10,-6.6
"99170","Pulju","Kittilä","Lappi",1220,1020,1400,-8.2,-10.6,-5.8
"18150","Jyränkö","Heinola","Päijät-Häme",770,730,800,-8.1,-9.5,-6.7
"25660","Mathildedal","Salo","Varsinais-Suomi",840,780,890,-8.1,-9.6,-6.6
"25700","Kemiö Keskus","Kemiönsaari","Varsinais-Suomi",970,910,1030,-8.1,-9.7,-6.4
"25870","Dragsfjärd","Kemiönsaari","Varsinais-Suomi",840,780,900,-8.1,-9.6,-6.6
"74390","Laakajärvi","Sotkamo","Kainuu",710,610,790,-8.1,-9.7,-6.4
"25130","Muurla","Salo","Varsinais-Suomi",970,890,1030,-8,-9.8,-6.2
"25230","Angelniemi","Salo","Varsinais-Suomi",840,760,920,-8,-9.6,-6.4
"25630","Finby","Salo","Varsinais-Suomi",850,790,910,-8,-9.5,-6.5
