"pnro","nimi","kunta","maakunta","hinta2016keski","hinta2016min","hinta2016max","trendi2016keski","trendi2016min","trendi2016max"
"22100","Maarianhamina","Maarianhamina","Ahvenanmaan maakunta",1400,1360,1450,-1.7,-2,-1.3
"22410","Godby","Finström","Ahvenanmaan maakunta",1160,1140,1190,-2.9,-3.2,-2.7
"22150","Jomala Centrum","Jomala","Ahvenanmaan maakunta",1140,1110,1170,-3.1,-3.3,-2.8
"22320","Ödkarby","Saltvik","Ahvenanmaan maakunta",1090,1060,1120,-3.4,-3.7,-3.1
"22610","Lemland","Lemland","Ahvenanmaan maakunta",1090,1060,1110,-3.4,-3.7,-3.1
"22130","Gottby","Jomala","Ahvenanmaan maakunta",1080,1050,1100,-3.5,-3.7,-3.2
"22310","Pålsböle","Finström","Ahvenanmaan maakunta",1070,1050,1100,-3.5,-3.8,-3.2
"22910","Torsholma","Brändö","Ahvenanmaan maakunta",1080,1050,1100,-3.5,-3.8,-3.2
"22240","Hammarland","Hammarland","Ahvenanmaan maakunta",1060,1040,1090,-3.6,-3.8,-3.2
"22220","Emkarby","Finström","Ahvenanmaan maakunta",1060,1030,1080,-3.6,-3.9,-3.3
"22520","Tosarby","Sund","Ahvenanmaan maakunta",1050,1030,1080,-3.6,-3.9,-3.3
"22630","Lumparland","Lumparland","Ahvenanmaan maakunta",1060,1030,1080,-3.6,-3.9,-3.3
"22270","Storby","Eckerö","Ahvenanmaan maakunta",1050,1020,1070,-3.7,-4,-3.3
"22330","Tjudö","Finström","Ahvenanmaan maakunta",1050,1020,1070,-3.6,-3.9,-3.3
"22530","Sund","Sund","Ahvenanmaan maakunta",1050,1020,1070,-3.7,-4,-3.3
"22430","Saltvik","Saltvik","Ahvenanmaan maakunta",1040,1010,1060,-3.7,-4,-3.4
"22920","Brändö-Åland","Brändö","Ahvenanmaan maakunta",1030,1010,1060,-3.7,-4.1,-3.4
"22940","Åva","Brändö","Ahvenanmaan maakunta",1030,1010,1060,-3.7,-4.1,-3.4
"22720","Sottunga","Sottunga","Ahvenanmaan maakunta",1020,1000,1050,-3.8,-4.1,-3.5
"22730","Kökar","Kökar","Ahvenanmaan maakunta",1030,1000,1050,-3.8,-4.1,-3.5
"22950","Jurmo","Brändö","Ahvenanmaan maakunta",1030,1000,1060,-3.8,-4.1,-3.4
"22340","Geta","Geta","Ahvenanmaan maakunta",1010,990,1040,-3.9,-4.2,-3.5
"22830","Enklinge","Kumlinge","Ahvenanmaan maakunta",1020,990,1050,-3.8,-4.2,-3.5
"22550","Vårdö","Vårdö","Ahvenanmaan maakunta",1010,980,1040,-3.9,-4.3,-3.6
"22710","Ålands Degerby","Föglö","Ahvenanmaan maakunta",1010,980,1040,-3.9,-4.3,-3.6
"22820","Kumlinge","Kumlinge","Ahvenanmaan maakunta",1010,980,1040,-3.9,-4.2,-3.5
"22840","Lappo","Brändö","Ahvenanmaan maakunta",1000,970,1020,-4,-4.4,-3.6
"22930","Fiskö","Brändö","Ahvenanmaan maakunta",990,960,1020,-4,-4.4,-3.7
"53100","Lappeenranta keskus","Lappeenranta","Etelä-Karjala",2370,2290,2440,0.7,-0.4,1.7
"53600","Kesämäki","Lappeenranta","Etelä-Karjala",2370,2280,2460,1.5,0.3,2.6
"53900","Pallo-Tysterniemi-Leiri","Lappeenranta","Etelä-Karjala",2320,2230,2410,0.2,-0.9,1.3
"53500","Parkkarila-Harapainen-Reijola","Lappeenranta","Etelä-Karjala",2030,1930,2120,0.6,-0.7,1.9
"53130","Keskussairaala-alue-Kimpinen","Lappeenranta","Etelä-Karjala",1760,1590,1930,-0.6,-1.6,0.3
"54110","Lampikangas","Lappeenranta","Etelä-Karjala",1580,1490,1670,-0.9,-2.5,0.6
"53550","Kourulanmäki","Lappeenranta","Etelä-Karjala",1630,1460,1790,-0.9,-2,0.1
"53200","Kaukas-Tirilä","Lappeenranta","Etelä-Karjala",1510,1440,1580,-1.9,-3.1,-0.7
"53850","Skinnarila","Lappeenranta","Etelä-Karjala",1490,1440,1530,-1.8,-2.7,-0.9
"53300","Lauritsala-Mälkiä","Lappeenranta","Etelä-Karjala",1490,1430,1550,-1.2,-2.4,-0.1
"54915","Saimaanharju-Kyläniemi","Taipalsaari","Etelä-Karjala",1490,1410,1570,-2.6,-4.2,-0.9
"53810","Kuusimäki-Lavola","Lappeenranta","Etelä-Karjala",1430,1380,1470,-1.3,-2.3,-0.3
"55100","Imatra Keskus","Imatra","Etelä-Karjala",1430,1370,1490,0.8,-0.6,2
"55420","Karhumäki-Karhukallio","Imatra","Etelä-Karjala",1460,1370,1550,-0.1,-1.5,1.3
"54920","Taipalsaari","Taipalsaari","Etelä-Karjala",1460,1330,1570,-3.4,-5.1,-1.7
"53920","Voisalmi","Lappeenranta","Etelä-Karjala",1330,1280,1370,-2.6,-3.6,-1.6
"54120","Pulp","Lappeenranta","Etelä-Karjala",1340,1230,1450,-2.2,-3.6,-0.8
"53650","Mattila-Kuusela","Lappeenranta","Etelä-Karjala",1320,1210,1420,-2.5,-3.9,-1.2
"54710","Lemi Keskus","Lemi","Etelä-Karjala",1300,1210,1390,-3.5,-5.2,-1.8
"53950","Kivisalmi","Lappeenranta","Etelä-Karjala",1220,1170,1270,-2.9,-4.1,-1.7
"53830","Rutola","Lappeenranta","Etelä-Karjala",1270,1160,1390,-2.5,-3.6,-1.5
"54100","Joutseno Keskus","Lappeenranta","Etelä-Karjala",1180,1130,1230,-2.8,-4.1,-1.5
"56100","Ruokolahti Keskus","Ruokolahti","Etelä-Karjala",1190,1120,1260,-2.3,-4.1,-0.7
"54800","Savitaipale Keskus","Savitaipale","Etelä-Karjala",1150,1100,1210,-3.4,-4.9,-1.9
"54960","Vehkataipale","Taipalsaari","Etelä-Karjala",1200,1090,1300,-4,-5.4,-2.6
"54260","Hanhijärvi","Lappeenranta","Etelä-Karjala",1160,1080,1240,-3.7,-4.7,-2.5
"54530","Luumäki","Luumäki","Etelä-Karjala",1190,1080,1300,-3.8,-5.4,-2.2
"54850","Kuukanniemi","Lemi","Etelä-Karjala",1220,1070,1340,-3.5,-5.3,-1.8
"54930","Levänen","Taipalsaari","Etelä-Karjala",1180,1070,1290,-4.1,-5.5,-2.7
"54310","Hytti","Lappeenranta","Etelä-Karjala",1150,1060,1230,-3.8,-4.9,-2.6
"54300","Vilkjärvi","Lappeenranta","Etelä-Karjala",1130,1050,1210,-3.9,-5,-2.7
"54230","Nuijamaa","Lappeenranta","Etelä-Karjala",1130,1040,1200,-3.9,-5,-2.8
"54330","Simola","Lappeenranta","Etelä-Karjala",1120,1040,1200,-3.9,-5,-2.8
"54270","Vainikkala","Lappeenranta","Etelä-Karjala",1110,1030,1190,-4,-5.1,-2.9
"53400","Laihia","Lappeenranta","Etelä-Karjala",1140,1020,1270,-3.4,-4.8,-2
"54720","Laksiainen","Lemi","Etelä-Karjala",1160,1020,1270,-4,-5.4,-2.7
"54190","Konnunsuo","Lappeenranta","Etelä-Karjala",1110,1010,1210,-3.6,-4.9,-2.2
"55700","Vintteri-Virasoja","Imatra","Etelä-Karjala",1070,1010,1130,-1.5,-3,0
"54250","Rapattila","Lappeenranta","Etelä-Karjala",1080,1000,1160,-4.2,-5.3,-3.1
"54750","Välijoki","Savitaipale","Etelä-Karjala",1130,1000,1230,-4.2,-5.5,-2.9
"54950","Pettilä","Savitaipale","Etelä-Karjala",1120,1000,1240,-4.6,-6,-3.2
"54820","Kotimäki","Lemi","Etelä-Karjala",1090,990,1180,-4.2,-5.5,-2.9
"55120","Mansikkala-Tuulikallio","Imatra","Etelä-Karjala",1040,990,1070,-0.6,-1.8,0.6
"54390","Pulsa","Lappeenranta","Etelä-Karjala",1060,980,1130,-4.4,-5.5,-3.2
"54770","Heituinlahti","Savitaipale","Etelä-Karjala",1110,980,1220,-4.3,-5.7,-3
"54940","Solkei","Taipalsaari","Etelä-Karjala",1100,980,1230,-4.7,-6.2,-3.3
"59100","Parikkala Keskus","Parikkala","Etelä-Karjala",1040,970,1120,-1.4,-3.5,0.8
"54510","Uro","Luumäki","Etelä-Karjala",1050,950,1160,-4.3,-5.6,-3
"55320","Rauha","Lappeenranta","Etelä-Karjala",1010,950,1080,-1.2,-2.8,0.3
"55300","Rauha-Tiuruniemi","Lappeenranta","Etelä-Karjala",1020,940,1080,-1.2,-2.8,0.4
"56120","Salosaari","Ruokolahti","Etelä-Karjala",1030,910,1140,-2.7,-4.6,-1
"54550","Suo-Anttila","Luumäki","Etelä-Karjala",1000,900,1100,-4.7,-6,-3.3
"54580","Somerharju","Luumäki","Etelä-Karjala",1000,890,1090,-4.7,-6.1,-3.3
"54590","Kaitjärvi","Luumäki","Etelä-Karjala",990,880,1080,-4.8,-6.2,-3.4
"54430","Hujakkala","Lappeenranta","Etelä-Karjala",980,870,1070,-4.5,-5.9,-3.1
