"","alue","vakiluku","temp","area","logtiheys","kunta","hintataso","trendi","trendimuutos","pinta_ala"
"00100","Helsinki Keskusta",17308,1,"1",3.75459733125627,"Helsinki",4879.57458436317,0.0566371512897442,"-0.0032592589198869",3.04543654737759
"00120","Punavuori",6681,1,"1",4.15344092228062,"Helsinki",5209.93313520635,0.0511696319784605,"-0.00373029221651847",0.46924596783006
"00130","Kaartinkaupunki",1502,1,"1",3.48258843449935,"Helsinki",5618.55374707069,0.0558019497151492,"-0.0031062597963692",0.494403456288849
"00140","Kaivopuisto",7746,1,"1",3.99281434091746,"Helsinki",5599.08351035193,0.0531428186099776,"-0.00317324193286637",0.787522828276649
"00150","Eira",9300,1,"1",3.8664903956955,"Helsinki",5116.95752835703,0.0560812022211608,"-0.00113787793475415",1.26471466036653
"00160","Katajanokka",4507,1,"1",3.82816682522798,"Helsinki",5441.55001404697,0.0537995294009978,"-0.00359425115747882",0.669453987701329
"00170","Kruununhaka",7123,1,"1",3.83141888314613,"Helsinki",5087.77360903579,0.0574214130157094,"-0.00337477385797958",1.05013240753153
"00180","Ruoholahti",12149,1,"1",3.79795247161459,"Helsinki",4923.93701166655,0.0547517373265117,"-0.00323873854247212",1.93458608843578
"00190","Suomenlinna",756,1,"1",2.82628597873348,"Helsinki",4358.81202354082,0.0453491090887567,"-0.00475493564367001",1.12780967726338
"00200","Lauttasaari",14607,2,"2",3.56109099556245,"Helsinki",4112.69364540604,0.0554819768259766,"-0.00491241393128903",4.01300807572358
"00210","Vattuniemi",6798,2,"2",3.5496865086143,"Helsinki",4385.61291470787,0.0498751907962496,"-0.00455848658102568",1.91732021683964
"00220","Jätkäsaari",602,2,"2",2.67989188454201,"Helsinki",3754.66009203507,0.0433033385068056,"-0.00544554443749647",1.25806942193873
"00230","Ilmala",0,2,"NaN",NA,"",3237.80034200564,0.0303529159274093,"-0.00798206869145459",NA
"00240","Länsi-Pasila",4898,2,"2",3.30028380934645,"Helsinki",4016.01166253294,0.0492165821396456,"-0.0041625432153617",2.45321138457123
"00250","Taka-Töölö",10868,2,"2",3.36050264358673,"Helsinki",4557.62423683129,0.0528601709483703,"-0.00375578044591591",4.73856656941864
"00260","Keski-Töölö",5415,2,"2",3.89189345877827,"Helsinki",4786.93523321777,0.0529927505811756,"-0.0028124896156955",0.694552377358393
"00270","Pohjois-Meilahti",7575,2,"2",3.93133408365491,"Helsinki",4355.79644104405,0.0585583819169786,"-0.00347217763917315",0.887255200391464
