Postinumero;alue;vakiluku
00100;Helsinki Keskusta;17308
00120;Punavuori;6681
00130;Kaartinkaupunki;1502
00140;Kaivopuisto;7746
00150;Eira;9300
00160;Katajanokka;4507
00170;Kruununhaka;7123
00180;Ruoholahti;12149
00190;Suomenlinna;756
00200;Lauttasaari;14607
00210;Vattuniemi;6798
00220;Jätkäsaari;602
00230;Ilmala;0
00240;Länsi-Pasila;4898
00250;Taka-Töölö;10868
00260;Keski-Töölö;5415
00270;Pohjois-Meilahti;7575
00280;Ruskeasuo;2792
00290;Meilahden sairaala-alue;161
00300;Pikku Huopalahti;5742
00310;Kivihaka;881
00320;Etelä-Haaga;9220
00330;Munkkiniemi;8470
00340;Kuusisaari-Lehtisaari;1693
00350;Munkkivuori-Niemenmäki;8857
00360;Pajamäki;1862
00370;Reimarla;6414
00380;Pitäjänmäen teollisuusalue;4132
00390;Konala;5977
00400;Pohjois-Haaga;9197
00410;Malminkartano;8574
00420;Kannelmäki;13639
00430;Maununneva;4751
00440;Lassila;4490
00500;Sörnäinen;12401
00510;Etu-Vallila;8433
00520;Itä-Pasila;6473
00530;Kallio;18348
00540;Kalasatama;596
00550;Vallila;9033
00560;Toukola-Vanhakaupunki;12414
00570;Kulosaari;3827
00580;Verkkosaari;1921
00590;Kaitalahti;368
00600;Koskela-Helsinki;4119
00610;Käpylä;7951
00620;Metsälä-Etelä-Oulunkylä;3082
00630;Maunula-Suursuo;7812
00640;Oulunkylä-Patola;7713
00650;Veräjämäki;4284
00660;Länsi-Pakila;6506
00670;Paloheinä;6016
00680;Itä-Pakila;3721
00690;Tuomarinkylä-Torpparinmäki;2711
00700;Malmi;13085
00710;Pihlajamäki;11582
00720;Pukinmäki-Savela;8305
00730;Tapanila;11313
00740;Siltamäki;10069
00750;Puistola;9122
00760;Suurmetsä;7733
00770;Jakomäki;5999
00780;Tapaninvainio;7036
00790;Viikki;9933
00800;Länsi-Herttoniemi;7063
00810;Herttoniemi;11137
00820;Roihuvuori;7268
00830;Tammisalo;2244
00840;Laajasalo;8173
00850;Jollas;3113
00860;Santahamina;475
00870;Etelä-Laajasalo;4858
00880;Roihupellon teollisuusalue;52
00890;Itäsalmi;2120
00900;Puotinharju;3968
00910;Puotila;6082
00920;Myllypuro;10989
00930;Itäkeskus-Marjaniemi;6584
00940;Kontula;25445
00950;Vartioharju;5567
00960;Pohjois-Vuosaari;7083
00970;Mellunkylä;10331
00980;Etelä-Vuosaari;22625
00990;Aurinkolahti;6983
01120;Västerskog;1273
01150;Söderkulla;4519
01180;Kalkkiranta;491
01190;Box;1010
01200;Hakunila;11799
01230;Vaarala;2908
01260;Itä-Hakkila;4748
01280;Länsimäki;9570
01300;Tikkurila;17176
01340;Leinelä;367
01350;Hiekkaharju;8900
01360;Koivukylä-Havukoski;12013
01370;Jokiniemi;5741
01380;Kuusikko-Hakkila;1943
01390;Ruskeasanta-Ilola;8574
01400;Rekola;8001
01420;Päiväkumpu;3225
01450;Korso;18248
01480;Mikkola;6608
01490;Nikinmäki;3849
01510;Kirkonkylä-Veromäki;5303
01520;Tammisto;7508
01530;Veromiehenkylä;535
01600;Myyrmäki;15668
01610;Kaivoksela;4018
01620;Martinlaakso;11794
01630;Hämeenkylä;2104
01640;Hämevaara;2720
01650;Vapaala;4019
01660;Varisto;2358
01670;Vantaanlaakso;2732
01680;Askisto;2034
01690;Ylästö;4624
01700;Kivistö;2993
01710;Pähkinärinne;4678
01720;Petikko;63
01730;Vantaanpuisto;2301
01740;Tuupakan teollisuusalue;210
01750;Keimola;855
01760;Seutula;2099
01770;Martinlaakson teollisuusalue;0
01800;Klaukkala Keskus;7104
01810;Luhtajoki;713
01820;Haikala;3483
01830;Lepsämä;2405
01840;Klaukkala;4229
01860;Perttula;2138
01900;Nurmijärvi Keskus;8767
01940;Palojoki;800
02100;Tapiola;3888
02110;Otsolahti;2677
02120;Länsikorkee-Hakalehto;2769
02130;Pohjois-Tapiola;5918
02140;Laajalahti-Friisinmäki;3656
02150;Otaniemi;3731
02160;Westend;3098
02170;Haukilahti;5789
02180;Mankkaa;6615
02200;Niittykumpu;8793
02210;Olari-Kuitinmäki;11099
02230;Matinkylä;19192
02240;Friisilä;1977
02260;Iivisniemi;3821
02270;Suomenoja;2272
02280;Puolarmetsä;4409
02290;Puolarmetsän sairaala;26
02300;Nöykkiö;2549
02320;Kivenlahti;15664
02330;Kattilalaakso;7948
02340;Latokaski;5040
02360;Espoonlahti;9305
02380;Suvisaaristo;651
02400;Kirkkonummi Keskus;12316
02410;Gesterby;2157
02420;Jorvas;1886
02430;Masala;4081
02440;Luoma;653
02450;Sundsberg;1652
02460;Kantvik;1618
02470;Upinniemi;330
02480;Porkkala;4051
02490;Pikkala;302
02510;Oitmäki;495
02520;Lapinkylä;821
02540;Kylmälä;680
02550;Evitskog;861
02570;Siuntio Kirkonkylä;1359
02580;Siuntio Asemanseutu;3377
02590;Lappers;258
02600;Etelä-Leppävaara;10547
02610;Kilo;5782
02620;Karakallio;7992
02630;Nihtisilta;2958
02650;Pohjois-Leppävaara;9682
02660;Lintuvaara;6214
02680;Uusmäki;649
02700;Suur-Kauniainen;8792
02710;Viherlaakso;6042
02720;Laaksolahti-Lähderanta;2684
02730;Laaksolahti;4559
02740;Karvasmäki-Kunnarla;2675
02750;Sepänkylä;5866
02760;Espoon Keskus Itäinen;14212
02770;Espoon Keskus Läntinen;9995
02780;Kauklahti;7911
02810;Kumpyöli-Karhusuo;1779
02820;Nupuri-Nuuksio;1471
02860;Siikajärvi;713
02880;Veikkola;5848
02920;Niipperi;5135
02940;Lippajärvi;10127
02970;Kalajärvi;3633
02980;Lakisto;432
03100;Nummela;14564
03150;Huhmari;808
03220;Tervalampi;620
03250;Ojakkala;2034
03300;Otalampi;2456
03320;Selki;332
03400;Vihti Kirkonkylä;6620
03430;Jokikunta;539
03600;Karkkila Keskus;6729
03620;Polari;2146
03710;Uusitalo;206
03790;Vihtijärvi;531
03810;Ikkala;647
03850;Pusula;1758
03870;Hyönölä;189
04130;Nikkilä;7091
04150;Martinkylä;664
04170;Paippinen;1218
04200;Kerava Keskus;11020
04220;Ahjo-Kaskela;5011
04230;Pihkaniitty;7377
04240;Talma;1264
04250;Alikerava;4769
04260;Savio;6088
04300;Hyrylä;10164
04310;Tuusula Keskus;2569
04320;Riihikallio;4395
04330;Lahela;2284
04340;Mattila;2304
04350;Nahkela;517
04360;Ruotsinkylä-Kiilinmäki;1265
04370;Rusutjärvi;787
04380;Tuomala;602
04390;Jäniksenlinna;472
04400;Loutti;9016
04410;Järvenpää Keskus;9697
04420;Kyrölä;4051
04430;Kinnari-Mikonkorpi;8915
04440;Jamppa;4389
04460;Nummenkylä;1949
04480;Haarajoki;2284
04500;Kellokoski;5889
04530;Ohkola;939
04600;Mäntsälä Keskus;9240
04620;Kaunismäki;1751
04630;Sääksjärvi;909
04660;Numminen;1745
04680;Hirvihaara;655
04740;Sälinkää;1227
04770;Sahakylä;221
04820;Kaukalampi;303
04840;Hautjärvi;254
04920;Saarentaus;325
04940;Levanto;283
05100;Röykkä;2276
05200;Rajamäki;6582
05250;Kiljava;182
05400;Jokela;6558
05430;Nuppulinna;1054
05450;Nukari;1129
05460;Hakalanmäki-Hakala;3413
05470;Palopuro;345
05510;Päivärinta;468
05620;Noppo;1350
05720;Kytäjä;463
05800;Hyvinkää Keskus;8979
05810;Martti;5437
05820;Mustamännistö;5131
05830;Kirjavatolppa-Kruununpuisto;7155
05840;Hyvinkäänkylä-Vehkoja;3894
05850;Hyvinkää, sairaala-alue;0
05860;Talvisilta;1435
05880;Paavola-Vaivero;3624
05900;Vieremä;3923
05950;Ridasjärvi;394
06100;Porvoo Keskus;18056
06150;Kevätkumpu;5668
06200;Porvoo itäinen;2630
06400;Gammelbacka;6849
06450;Eestinmäki-Ernestas;2068
06500;Saksala-Suomenkylä;2199
06530;Kerkkoo;821
06650;Hamari;1483
06750;Tolkkinen;1720
06830;Kulloonkylä;1087
06850;Kulloo;22
06880;Kärrby;340
06950;Emäsalo;383
07110;Hinthaara;1548
07130;Anttila;659
