year pnro price n
2011 00100 5413.0 417
2011 00120 5581.0 138
2011 00130 6646.0 19
2011 00140 6262.0 212
2011 00150 5704.0 296
2011 00160 5932.0 42
2011 00170 5747.0 136
2011 00180 5459.0 206
2011 00200 4576.0 434
2011 00210 4747.0 143
2011 00250 4953.0 307
2011 00260 5322.0 155
2011 00270 4686.0 208
2011 00280 4394.0 74
2011 00300 4424.0 32
2011 00310 3352.0 21
2011 00320 3829.0 323
2011 00330 4609.0 151
2011 00340 3670.0 16
2011 00350 3718.0 137
2011 00360 3043.0 67
2011 00370 3173.0 88
2011 00390 2785.0 86
2011 00400 3286.0 236
2011 00410 2647.0 15
2011 00420 2683.0 225
2011 00430 3175.0 16
2011 00440 3345.0 96
2011 00500 4349.0 454
2011 00510 4260.0 349
2011 00520 3906.0 114
2011 00530 4510.0 525
2011 00550 3957.0 198
2011 00560 4490.0 138
2011 00570 3873.0 80
2011 00600 2848.0 27
2011 00610 3962.0 130
2011 00620 3048.0 69
2011 00630 2844.0 126
2011 00640 2985.0 166
2011 00650 3212.0 25
2011 00660 3455.0 55
2011 00670 3601.0 55
2011 00680 3282.0 28
2011 00700 3072.0 105
2011 00710 2484.0 154
2011 00720 2961.0 128
2011 00730 3146.0 117
2011 00740 2714.0 84
2011 00750 2489.0 67
2011 00760 2739.0 87
2011 00770 2050.0 53
2011 00780 3213.0 81
2011 00790 3675.0 85
2011 00800 3421.0 84
2011 00810 3799.0 84
2011 00820 2737.0 163
2011 00830 3447.0 19
2011 00840 3093.0 147
2011 00870 2643.0 27
2011 00900 2584.0 87
2011 00910 3045.0 170
2011 00920 2379.0 136
2011 00930 2887.0 30
2011 00940 2365.0 214
2011 00950 3202.0 41
2011 00960 2613.0 107
2011 00970 2471.0 126
2011 00980 2854.0 162
2011 00990 3956.0 171
2011 01150 2479.0 41
2011 01200 2244.0 164
2011 01230 2550.0 40
2011 01260 2551.0 27
2011 01280 2488.0 164
2011 01300 2802.0 387
2011 01350 2389.0 131
2011 01360 2125.0 231
2011 01370 2734.0 63
2011 01380 2910.0 11
2011 01390 2882.0 61
2011 01400 2799.0 27
2011 01450 2512.0 246
2011 01480 2159.0 90
2011 01490 2678.0 18
2011 01510 3446.0 52
2011 01520 3388.0 136
2011 01600 2526.0 339
2011 01610 2554.0 121
2011 01620 2277.0 225
2011 01630 2923.0 31
2011 01640 3066.0 31
2011 01650 2092.0 72
2011 01660 2685.0 16
2011 01670 2713.0 49
2011 01690 3201.0 29
2011 01710 2525.0 176
2011 01730 1908.0 29
2011 01800 2301.0 92
2011 01820 2302.0 53
2011 01840 2392.0 32
2011 01900 2053.0 86
2011 02100 3939.0 90
2011 02110 3955.0 69
2011 02120 3651.0 86
2011 02130 3601.0 94
2011 02140 3017.0 41
2011 02150 3383.0 12
2011 02160 4261.0 29
2011 02170 3789.0 100
2011 02180 3590.0 85
2011 02200 3379.0 166
2011 02210 2951.0 250
2011 02230 3295.0 243
2011 02240 3645.0 13
2011 02260 2693.0 67
2011 02270 3188.0 25
2011 02280 3233.0 56
2011 02300 3240.0 15
2011 02320 2867.0 353
2011 02330 3525.0 47
2011 02340 3013.0 93
2011 02360 2500.0 153
2011 02400 2168.0 171
2011 02410 1527.0 9
2011 02420 2212.0 11
2011 02430 2418.0 64
2011 02450 2924.0 22
2011 02460 1837.0 24
2011 02480 2537.0 19
2011 02580 2192.0 17
2011 02600 3428.0 124
2011 02610 3554.0 71
2011 02620 2485.0 70
2011 02630 3134.0 49
2011 02650 3043.0 262
2011 02660 3382.0 28
2011 02700 3711.0 76
2011 02710 2600.0 105
2011 02720 2913.0 16
2011 02730 3127.0 22
2011 02740 3259.0 16
2011 02750 3346.0 77
2011 02760 2632.0 257
2011 02770 2686.0 79
2011 02780 2763.0 54
2011 02810 2924.0 8
2011 02880 2439.0 60
2011 02920 2893.0 41
2011 02940 3022.0 123
2011 02970 2910.0 15
2011 03100 2104.0 293
2011 03250 1889.0 19
2011 03400 1918.0 51
2011 03600 1558.0 95
2011 03620 1510.0 6
2011 03850 1335.0 6
2011 04130 2386.0 64
2011 04200 2415.0 214
2011 04220 2554.0 38
2011 04230 2189.0 138
2011 04250 2564.0 78
2011 04260 2099.0 72
2011 04300 2536.0 98
2011 04310 2674.0 22
2011 04320 2231.0 105
2011 04330 2472.0 18
2011 04340 2091.0 34
2011 04400 2489.0 235
2011 04410 2274.0 179
2011 04420 2536.0 54
2011 04430 2607.0 115
